City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2022-02-14 04:58:54,-0.6,73.0833,82.36,72,79,12.97
1,Marzuq,YE,2022-02-14 04:58:55,14.4,46.4667,59.04,41,34,3.42
2,Berezovyy,RU,2022-02-14 04:58:56,51.6667,135.7,16.83,85,100,3.58
3,Hobart,AU,2022-02-14 04:55:23,-42.8794,147.3294,71.02,65,75,9.22
4,La Ronge,CA,2022-02-14 04:58:56,55.1001,-105.2842,-0.15,78,0,5.75
5,Qaanaaq,GL,2022-02-14 04:58:57,77.484,-69.3632,-7.62,67,77,7.67
6,Roma,US,2022-02-14 04:54:05,43.2128,-75.4557,11.95,78,76,5.99
7,Mar Del Plata,AR,2022-02-14 04:58:58,-38.0023,-57.5575,60.87,77,0,1.99
8,Punta Arenas,CL,2022-02-14 04:57:47,-53.15,-70.9167,44.71,57,40,11.5
9,Hilo,US,2022-02-14 04:58:58,19.7297,-155.09,72.25,85,100,3.44
10,Eyl,SO,2022-02-14 04:58:59,7.9803,49.8164,75.76,64,62,15.61
11,Rikitea,PF,2022-02-14 04:58:59,-23.1203,-134.9692,78.91,71,1,14.12
12,Alofi,NU,2022-02-14 04:59:00,-19.0595,-169.9187,82.29,74,99,11.5
13,Mahon,ES,2022-02-14 04:59:00,39.8885,4.2658,54.16,82,75,14.97
14,Faanui,PF,2022-02-14 04:59:00,-16.4833,-151.75,81.48,74,100,12.33
15,Mandalgovi,MN,2022-02-14 04:59:01,45.7625,106.2708,1.29,78,85,8.99
16,Ojinaga,MX,2022-02-14 04:59:02,29.5667,-104.4167,49.41,25,0,8.05
17,Iqaluit,CA,2022-02-14 04:59:02,63.7506,-68.5145,-16.87,63,100,2.3
18,Mataura,NZ,2022-02-14 04:59:02,-46.1927,168.8643,64.47,45,100,5.88
19,Castro,BR,2022-02-14 04:59:03,-24.7911,-50.0119,63.5,91,75,1.25
20,Mount Isa,AU,2022-02-14 04:55:10,-20.7333,139.5,91.17,31,56,11.5
21,Bethel,US,2022-02-14 04:58:36,41.3712,-73.414,25.05,65,53,5.01
22,Villamontes,BO,2022-02-14 04:59:04,-21.25,-63.5,65.89,80,32,2.3
23,Nome,US,2022-02-14 04:59:05,64.5011,-165.4064,-19.53,92,5,6.22
24,Narsaq,GL,2022-02-14 04:59:05,60.9167,-46.05,12.69,92,100,6.42
25,Santa Marta,CO,2022-02-14 04:58:49,11.2408,-74.199,84.25,61,20,8.05
26,Port Alfred,ZA,2022-02-14 04:59:06,-33.5906,26.891,67.66,83,83,15.43
27,Butaritari,KI,2022-02-14 04:59:07,3.0707,172.7902,81.28,77,67,12.15
28,Busselton,AU,2022-02-14 04:59:07,-33.65,115.3333,92.05,40,0,0.83
29,Yar-Sale,RU,2022-02-14 04:59:08,66.8333,70.8333,-18.67,99,99,7.92
30,Cape Town,ZA,2022-02-14 04:59:08,-33.9258,18.4232,68.41,78,0,12.66
31,Provideniya,RU,2022-02-14 04:59:09,64.3833,-173.3,-7.49,71,0,11.18
32,Luderitz,NA,2022-02-14 04:59:09,-26.6481,15.1594,70.07,72,0,8.19
33,Bengkulu,ID,2022-02-14 04:59:10,-3.8004,102.2655,84.96,63,72,6.38
34,Asau,RO,2022-02-14 04:59:10,46.4333,26.4,26.96,80,98,3.58
35,Yellowknife,CA,2022-02-14 04:59:11,62.456,-114.3525,-24.59,88,20,2.3
36,Makat,KZ,2022-02-14 04:59:12,47.6469,53.3463,22.26,93,9,12.39
37,Vaitape,PF,2022-02-14 04:59:13,-16.5167,-151.75,81.39,74,100,12.28
38,Avarua,CK,2022-02-14 04:59:14,-21.2078,-159.775,75.25,88,75,6.91
39,Saint-Philippe,RE,2022-02-14 04:59:15,-21.3585,55.7679,85.55,78,26,11.77
40,Saskylakh,RU,2022-02-14 04:59:15,71.9167,114.0833,-13.95,95,21,4.23
41,Tasiilaq,GL,2022-02-14 04:59:16,65.6145,-37.6368,22.69,81,100,26.82
42,Lebu,CL,2022-02-14 04:59:17,-37.6167,-73.65,56.03,92,97,5.86
43,Tuktoyaktuk,CA,2022-02-14 04:59:18,69.4541,-133.0374,-31.0,68,40,10.36
44,Dingle,PH,2022-02-14 04:59:18,10.9995,122.6711,86.07,62,100,11.54
45,Geraldton,AU,2022-02-14 05:00:26,-28.7667,114.6,86.41,58,11,14.97
46,Albany,US,2022-02-14 05:00:20,42.6001,-73.9662,18.19,68,33,5.01
47,Tateyama,JP,2022-02-14 05:00:33,34.9833,139.8667,48.02,58,100,17.34
48,Fort Nelson,CA,2022-02-14 05:00:35,58.8053,-122.7002,1.51,100,100,2.19
49,Estacion Coahuila,MX,2022-02-14 05:00:37,32.1939,-115.0017,59.97,11,0,7.23
50,Erzin,TR,2022-02-14 04:58:33,36.9559,36.2,45.12,84,49,1.57
51,Guymon,US,2022-02-14 05:00:38,36.6828,-101.4816,44.55,39,0,10.13
52,Meadow Lake,US,2022-02-14 05:00:39,34.8014,-106.5436,44.65,32,0,2.15
53,Praia Da Vitoria,PT,2022-02-14 05:00:40,38.7333,-27.0667,55.76,75,99,1.88
54,Kodiak,US,2022-02-14 05:00:41,57.79,-152.4072,34.11,82,58,3.27
55,Cidreira,BR,2022-02-14 05:00:42,-30.1811,-50.2056,68.47,85,26,6.89
56,Namibe,AO,2022-02-14 05:00:43,-15.1961,12.1522,72.79,86,92,1.68
57,Victoria,HK,2022-02-14 04:56:40,22.2855,114.1577,68.97,70,39,8.99
58,Groningen,NL,2022-02-14 04:59:58,53.25,6.75,51.22,72,40,18.41
59,Kiruna,SE,2022-02-14 05:00:44,67.8557,20.2251,-0.31,86,4,6.17
60,Hermanus,ZA,2022-02-14 05:00:44,-34.4187,19.2345,66.9,77,85,19.17
61,Isangel,VU,2022-02-14 05:00:45,-19.55,169.2667,83.73,75,70,12.24
62,Porto Novo,BJ,2022-02-14 05:00:45,6.4965,2.6036,77.72,83,13,4.29
63,Karhal,IN,2022-02-14 05:00:46,27.0003,78.9414,66.54,43,0,3.27
64,Longyearbyen,SJ,2022-02-14 05:00:47,78.2186,15.6401,7.79,96,98,1.97
65,Gornyak,RU,2022-02-14 05:00:47,50.9942,81.4661,21.96,87,69,17.34
66,Pevek,RU,2022-02-14 05:00:48,69.7008,170.3133,-16.96,98,100,7.81
67,Kalmunai,LK,2022-02-14 05:00:25,7.4167,81.8167,81.7,70,55,13.69
68,Hirara,JP,2022-02-14 05:00:50,24.8,125.2833,64.38,78,100,24.25
69,Ribeira Grande,PT,2022-02-14 05:00:51,38.5167,-28.7,58.01,68,92,3.29
70,Mitsamiouli,KM,2022-02-14 05:00:51,-11.3847,43.2844,81.0,79,49,4.79
71,Sile,TR,2022-02-14 05:00:52,41.1754,29.6133,45.57,64,100,3.0
72,Palmer,US,2022-02-14 04:58:08,42.1584,-72.3287,25.25,58,100,1.01
73,Luoyang,CN,2022-02-14 04:58:13,34.6836,112.4536,45.36,57,66,11.25
74,Kapaa,US,2022-02-14 04:57:22,22.0752,-159.319,73.38,69,4,11.12
75,Alice Springs,AU,2022-02-14 05:00:53,-23.7,133.8833,98.15,19,0,10.36
76,Ponta Do Sol,PT,2022-02-14 05:00:54,32.6667,-17.1,61.05,73,95,1.01
77,East London,ZA,2022-02-14 05:00:55,-33.0153,27.9116,68.94,100,100,10.36
78,Kruisfontein,ZA,2022-02-14 05:00:55,-34.0033,24.7314,64.2,86,100,11.43
79,Ketchikan,US,2022-02-14 05:00:56,55.3422,-131.6461,40.19,98,100,1.66
80,Kirishi,RU,2022-02-14 05:00:57,59.4471,32.0205,31.17,93,100,10.69
81,Atuona,PF,2022-02-14 05:00:58,-9.8,-139.0333,77.34,80,22,13.87
82,Ushuaia,AR,2022-02-14 04:56:33,-54.8,-68.3,40.66,75,40,20.71
83,Inhambane,MZ,2022-02-14 05:00:59,-23.865,35.3833,78.78,89,20,4.61
84,Georgetown,MY,2022-02-14 05:00:48,5.4112,100.3354,87.73,70,20,5.75
85,Egvekinot,RU,2022-02-14 05:01:00,66.3167,-179.1667,-19.3,90,12,7.72
86,Tabas,IR,2022-02-14 05:01:01,33.5959,56.9244,50.9,40,0,2.93
87,Jamestown,US,2022-02-14 04:58:55,42.097,-79.2353,11.3,100,99,1.86
88,Whitehorse,CA,2022-02-14 04:58:16,60.7161,-135.0538,21.97,73,100,8.05
89,Alamogordo,US,2022-02-14 05:01:02,32.8995,-105.9603,50.56,41,0,8.05
90,Sao Miguel Do Araguaia,BR,2022-02-14 05:01:02,-13.275,-50.1628,70.34,95,63,3.31
91,Yulara,AU,2022-02-14 05:01:03,-25.2406,130.9889,96.82,8,3,11.48
92,Ballina,AU,2022-02-14 05:02:03,-28.8667,153.5667,73.78,94,75,11.5
93,Palencia,ES,2022-02-14 05:02:04,42.4167,-4.5,35.8,87,10,13.98
94,Constitucion,CL,2022-02-14 05:02:05,-35.3333,-72.4167,58.21,90,73,0.38
95,Lahat,ID,2022-02-14 05:02:06,-3.8,103.5333,91.22,50,70,3.33
96,Cayenne,GF,2022-02-14 05:02:06,4.9333,-52.3333,78.1,88,75,3.0
97,Cherskiy,RU,2022-02-14 05:02:07,68.75,161.3,-25.42,99,93,5.44
98,Souillac,MU,2022-02-14 05:02:07,-20.5167,57.5167,83.35,94,40,12.66
99,Clyde River,CA,2022-02-14 04:58:13,70.4692,-68.5914,-12.77,77,100,29.93
100,Yinchuan,CN,2022-02-14 05:02:08,38.4681,106.2731,27.7,36,100,1.28
101,Morant Bay,JM,2022-02-14 05:02:09,17.8815,-76.4093,72.63,68,28,3.83
102,Calabozo,VE,2022-02-14 05:02:10,8.9242,-67.4293,77.18,55,13,8.72
103,Vaini,TO,2022-02-14 05:00:52,-21.2,-175.2,80.04,70,93,15.77
104,Creel,MX,2022-02-14 05:02:11,27.75,-107.6333,34.63,33,4,5.23
105,Rawson,AR,2022-02-14 04:59:13,-43.3002,-65.1023,62.64,84,37,35.1
106,Dikson,RU,2022-02-14 05:02:11,73.5069,80.5464,-5.66,92,70,22.28
107,Lakes Entrance,AU,2022-02-14 05:02:13,-37.8811,147.981,76.05,61,10,9.13
108,Bay-Khaak,RU,2022-02-14 05:02:13,51.1667,94.5,-10.59,91,99,0.69
109,Gornopravdinsk,RU,2022-02-14 05:02:14,60.05,69.9,4.6,93,100,3.6
110,Taltal,CL,2022-02-14 05:02:15,-25.4,-70.4833,66.92,80,3,1.21
111,Rosetta,EG,2022-02-14 05:02:15,31.4044,30.4164,56.62,67,18,7.99
112,Gwadar,PK,2022-02-14 05:02:16,25.1216,62.3254,71.69,61,19,9.35
113,Lasa,IT,2022-02-14 05:02:16,46.6166,10.7002,25.02,70,6,1.77
114,Kaitangata,NZ,2022-02-14 05:02:17,-46.2817,169.8464,59.94,76,99,6.31
115,Bluff,NZ,2022-02-14 05:02:17,-46.6,168.3333,63.81,66,100,7.36
116,Tura,IN,2022-02-14 05:02:18,25.5198,90.2201,73.36,35,0,1.01
117,Airai,TL,2022-02-14 05:02:19,-8.9266,125.4092,74.26,59,28,2.26
118,Ulladulla,AU,2022-02-14 05:02:19,-35.35,150.4667,87.76,52,94,17.2
119,Arman,RU,2022-02-14 05:02:20,59.7,150.1667,8.02,76,97,7.78
120,Ust-Kut,RU,2022-02-14 05:02:21,56.7938,105.7672,-2.06,83,21,1.97
121,Kushiro,JP,2022-02-14 05:02:22,42.975,144.3747,30.31,67,59,9.6
122,Yazd,IR,2022-02-14 05:02:22,31.8972,54.3675,44.71,53,0,0.0
123,Leningradskiy,RU,2022-02-14 05:02:23,69.3833,178.4167,-17.79,90,80,5.93
124,Flagstaff,US,2022-02-14 05:02:23,35.1981,-111.6513,44.26,19,0,2.82
125,Sokolovyy,RU,2022-02-14 05:02:24,51.5686,45.8331,12.4,94,72,7.87
126,Neiafu,TO,2022-02-14 05:02:24,-18.65,-173.9833,82.02,73,95,12.73
127,Taoudenni,ML,2022-02-14 04:59:33,22.6783,-3.9836,56.75,30,1,10.47
128,Upernavik,GL,2022-02-14 05:02:26,72.7868,-56.1549,1.58,92,100,17.6
129,Lehola,EE,2022-02-14 05:02:27,59.2925,24.3279,35.74,93,100,12.66
130,San Jose,US,2022-02-14 05:01:04,37.3394,-121.895,63.91,63,75,4.61
131,Kavieng,PG,2022-02-14 04:57:49,-2.5744,150.7967,83.62,74,93,7.52
132,Severo-Kurilsk,RU,2022-02-14 05:02:28,50.6789,156.125,26.46,70,82,16.22
133,Chuy,UY,2022-02-14 05:02:28,-33.6971,-53.4616,58.37,62,4,9.95
134,Ilulissat,GL,2022-02-14 05:03:29,69.2167,-51.1,3.22,78,75,12.66
135,Mahebourg,MU,2022-02-14 05:03:29,-20.4081,57.7,83.25,94,40,12.66
136,Khatanga,RU,2022-02-14 05:03:30,71.9667,102.5,-25.11,100,60,2.84
137,Narwar,IN,2022-02-14 05:03:30,25.65,77.9,68.36,27,0,5.91
138,Itoman,JP,2022-02-14 05:03:31,26.1247,127.6694,64.78,77,75,10.36
139,Shingu,JP,2022-02-14 05:03:31,33.7333,135.9833,49.91,67,100,5.21
140,Bredasdorp,ZA,2022-02-14 05:03:32,-34.5322,20.0403,67.28,70,100,17.43
141,Balkanabat,TM,2022-02-14 05:03:33,39.5108,54.3671,38.71,60,8,4.47
142,Atar,MR,2022-02-14 05:03:33,20.5169,-13.0499,63.32,22,99,8.48
143,Tougue,GN,2022-02-14 05:03:34,11.4667,-11.6,62.04,22,12,2.26
144,Klyuchi,RU,2022-02-14 05:03:35,52.2667,79.1667,12.76,91,77,3.83
145,Lagoa,PT,2022-02-14 05:03:35,39.05,-27.9833,56.37,59,74,2.71
146,Coihaique,CL,2022-02-14 05:03:35,-45.5752,-72.0662,55.35,62,88,3.44
147,San Patricio,US,2022-02-14 05:03:36,28.017,-97.5169,55.24,47,97,7.38
148,Brooks,CA,2022-02-14 05:00:48,50.5834,-111.8851,31.03,72,99,9.42
149,Carnarvon,AU,2022-02-14 05:03:37,-24.8667,113.6333,88.61,60,7,10.04
150,Aleppo,SY,2022-02-14 05:03:37,36.25,37.5,44.24,90,0,9.71
151,Torbay,CA,2022-02-14 05:03:19,47.6666,-52.7314,29.57,90,100,9.22
152,Vila Velha,BR,2022-02-14 05:03:38,-20.3297,-40.2925,75.15,94,0,5.75
153,Merritt,CA,2022-02-14 05:02:30,50.1123,-120.7942,30.45,98,100,1.79
154,Igurubi,TZ,2022-02-14 05:03:39,-4.0,33.7,66.27,94,99,3.24
155,Kisesa,TZ,2022-02-14 05:03:39,-3.0833,34.15,66.07,82,94,1.05
156,Boa Vista,BR,2022-02-14 04:58:42,2.8197,-60.6733,78.78,73,0,12.66
157,Nikolskoye,RU,2022-02-14 05:03:40,59.7035,30.7861,36.88,91,100,11.27
158,Sao Filipe,CV,2022-02-14 05:03:41,14.8961,-24.4956,72.93,67,88,11.7
159,Talnakh,RU,2022-02-14 05:03:41,69.4865,88.3972,-6.02,71,10,8.57
160,Plettenberg Bay,ZA,2022-02-14 05:03:42,-34.0527,23.3716,66.54,92,100,15.37
161,Bitung,ID,2022-02-14 05:03:42,1.4451,125.1824,86.85,70,98,8.46
162,Sehithwa,BW,2022-02-14 05:03:43,-20.4667,22.7167,69.24,77,4,4.16
163,Yarmouth,US,2022-02-14 05:03:43,41.7057,-70.2286,33.91,93,100,12.66
164,Vardo,NO,2022-02-14 05:03:44,70.3705,31.1107,17.8,76,100,13.4
165,Mayo,US,2022-02-14 05:03:44,38.8876,-76.5119,30.18,67,0,6.91
166,Sandviken,SE,2022-02-14 05:03:45,60.6167,16.7667,38.7,90,100,6.44
167,Santa Marinella,IT,2022-02-14 05:03:45,42.0345,11.8536,51.71,96,99,11.32
168,Malegaon,IN,2022-02-14 05:03:46,20.55,74.5333,76.96,28,1,4.94
169,Richards Bay,ZA,2022-02-14 05:03:47,-28.783,32.0377,76.23,89,100,14.32
170,Bambanglipuro,ID,2022-02-14 05:03:48,-7.95,110.2833,84.92,68,87,9.51
171,Tual,ID,2022-02-14 05:03:49,-5.6667,132.75,81.09,75,84,7.76
172,Tacna,PE,2022-02-14 05:03:49,-18.0056,-70.2483,61.7,86,88,3.29
173,Falam,MM,2022-02-14 05:03:50,22.9167,93.6833,69.15,19,2,3.62
174,Dzerzhinsk,RU,2022-02-14 05:03:50,56.2389,43.4631,26.42,86,75,11.18
175,Santa Cruz Del Sur,CU,2022-02-14 05:03:51,20.7147,-77.9956,74.43,83,4,7.76
176,Victor Harbor,AU,2022-02-14 05:03:51,-35.5667,138.6167,84.29,77,13,3.0
177,Nuuk,GL,2022-02-14 05:03:52,64.1835,-51.7216,5.61,78,75,5.75
178,Nea Apollonia,GR,2022-02-14 05:03:53,40.6333,23.45,47.64,74,77,2.24
179,Bhimavaram,IN,2022-02-14 05:03:53,16.5333,81.5333,83.14,44,5,4.79
180,Ust-Kulom,RU,2022-02-14 05:03:54,61.6864,53.6902,-0.8,100,100,3.13
181,Lons,FR,2022-02-14 05:03:54,43.3167,-0.4,46.58,93,100,9.22
182,Ambon,ID,2022-02-14 05:04:55,-3.6954,128.1814,87.94,70,40,6.91
183,Tiksi,RU,2022-02-14 05:04:55,71.6872,128.8694,-10.44,89,25,8.9
184,Aksarka,RU,2022-02-14 05:04:56,66.5606,67.7975,-14.85,98,100,3.02
185,Porto San Giorgio,IT,2022-02-14 05:04:57,43.1827,13.7934,46.18,91,91,6.06
186,Thompson,CA,2022-02-14 05:04:37,55.7435,-97.8558,-24.59,99,68,4.18
187,Touros,BR,2022-02-14 05:04:57,-5.1989,-35.4608,79.7,79,7,10.42
188,Barrow,US,2022-02-14 05:04:58,71.2906,-156.7887,-29.18,100,0,9.22
189,Sandpoint,US,2022-02-14 05:00:48,48.2766,-116.5533,36.55,84,0,0.0
190,Zhumadian,CN,2022-02-14 05:04:59,32.9794,114.0294,51.01,53,62,5.86
191,Srednekolymsk,RU,2022-02-14 05:05:00,67.45,153.6833,-22.86,93,18,5.12
192,Chiungutwa,TZ,2022-02-14 05:05:01,-10.8833,38.9833,69.69,97,100,2.13
193,High Level,CA,2022-02-14 05:05:01,58.5169,-117.136,-3.21,100,72,4.52
194,North Platte,US,2022-02-14 05:01:15,41.1239,-100.7654,39.97,46,58,1.99
195,Sistranda,NO,2022-02-14 05:01:38,63.7256,8.834,31.96,60,100,21.61
196,Nizhniy Odes,RU,2022-02-14 05:05:02,63.6445,54.856,0.75,99,100,4.7
197,Port Elizabeth,ZA,2022-02-14 05:05:03,-33.918,25.5701,66.94,81,97,13.18
198,Lufilufi,WS,2022-02-14 05:05:03,-13.8745,-171.5986,85.78,75,75,3.49
199,Toamasina,MG,2022-02-14 05:05:04,-18.1667,49.3833,79.23,79,9,7.83
200,Port Lincoln,AU,2022-02-14 05:00:49,-34.7333,135.8667,72.68,67,15,11.74
201,Esperance,AU,2022-02-14 05:05:05,-33.8667,121.9,73.69,58,73,15.01
202,Broken Hill,AU,2022-02-14 05:05:05,-31.95,141.4333,92.66,21,99,10.07
203,Hirna,ET,2022-02-14 05:05:06,9.2167,41.1,63.54,58,46,3.69
204,Puerto Ayora,EC,2022-02-14 05:05:07,-0.7393,-90.3518,73.54,94,96,2.62
205,Mandalgarh,IN,2022-02-14 05:05:07,25.2,75.1,71.94,23,0,6.13
206,Akdepe,TM,2022-02-14 05:05:08,42.0551,59.3788,28.4,71,20,12.64
207,Ursulo Galvan,MX,2022-02-14 05:05:09,22.7333,-98.3,54.19,56,98,1.86
208,Arraial Do Cabo,BR,2022-02-14 05:05:09,-22.9661,-42.0278,75.0,93,7,14.43
209,Gigmoto,PH,2022-02-14 05:02:06,13.7796,124.39,82.04,66,82,8.57
210,Meulaboh,ID,2022-02-14 05:05:10,4.1363,96.1285,85.1,65,89,3.78
211,Shepsi,RU,2022-02-14 05:05:10,44.0361,39.1489,38.93,69,98,11.61
212,Matara,LK,2022-02-14 05:05:11,5.9485,80.5353,84.24,62,50,1.77
213,Masallatah,LY,2022-02-14 05:05:11,32.6167,14.0,50.04,77,42,12.59
214,Kaoma,ZM,2022-02-14 05:05:12,-14.7833,24.8,63.39,94,42,2.86
215,Kushmurun,KZ,2022-02-14 05:05:13,52.4503,64.6311,16.88,95,100,10.49
216,Palana,RU,2022-02-14 05:05:13,59.1167,159.9667,2.39,92,87,9.64
217,Zomin,UZ,2022-02-14 05:05:14,39.9606,68.3958,37.09,86,100,2.77
218,Kahului,US,2022-02-14 05:05:14,20.8947,-156.47,73.85,74,75,10.36
219,Alibag,IN,2022-02-14 05:05:15,18.6411,72.8792,82.47,47,20,7.65
220,Hay River,CA,2022-02-14 05:00:48,60.8156,-115.7999,-12.33,97,97,4.38
221,Playa Del Carmen,MX,2022-02-14 05:05:16,20.6274,-87.0799,73.42,84,20,14.97
222,New Norfolk,AU,2022-02-14 05:05:17,-42.7826,147.0587,71.65,48,76,1.99
223,Cabo San Lucas,MX,2022-02-14 05:01:33,22.8909,-109.9124,72.52,49,66,6.35
224,Corner Brook,CA,2022-02-14 05:00:49,48.9667,-57.9484,14.22,96,100,1.54
225,Corumba,BR,2022-02-14 05:03:49,-19.0092,-57.6533,79.99,61,79,2.33
226,Yenagoa,NG,2022-02-14 05:06:18,4.9247,6.2642,76.21,92,26,3.62
227,Havoysund,NO,2022-02-14 05:06:18,70.9963,24.6622,29.28,88,100,18.59
228,San Joaquin,US,2022-02-14 05:06:19,37.9333,-121.3011,60.48,70,0,0.0
229,Belmonte,BR,2022-02-14 05:06:19,-15.8631,-38.8828,75.7,89,82,5.88
230,Onguday,RU,2022-02-14 05:06:20,50.75,86.15,17.19,88,100,4.12
231,Hauterive,FR,2022-02-14 05:06:20,46.0901,3.4459,50.76,82,100,12.48
232,Kathmandu,NP,2022-02-14 05:02:32,27.7167,85.3167,57.42,67,20,2.3
233,Agadir,MA,2022-02-14 05:06:21,30.4202,-9.5982,50.45,69,0,4.34
234,Caravelas,BR,2022-02-14 05:06:22,-17.7125,-39.2481,73.92,94,71,3.67
